label,category,utterance2,utterance1
1,watch_tv_0,"{'user': 'Alien', 'text': 'What do you mean by sitting?', 'intent': 'Inform_confused'}","{'user': 'Human', 'text': 'Yes, but you are not sitting', 'intent': 'Inform_incorrect_action'}"
1,watch_tv_0,"{'user': 'Human', 'text': 'What do you think of the couch?', 'intent': 'Casual_question'}","{'user': 'Alien', 'text': ""Ok, I'll give it a try"", 'intent': 'Inform_understanding'}"
1,watch_tv_0,"{'user': 'Alien', 'text': 'What should I do now?', 'intent': 'Ask_next_step'}","{'user': 'Alien', 'text': 'Pretty comfy!', 'intent': 'Casual_response'}"
1,watch_tv_0,"{'user': 'Human', 'text': 'Go ahead and press the button!', 'intent': 'Inform_next_step'}","{'user': 'Human', 'text': 'Just push the power button again.', 'intent': 'Inform_action'}"
1,watch_tv_0,"{'user': 'Human', 'text': 'This is a microwave. It is a miracle device that allows you to make the same food hot multiple times.', 'intent': 'iInform_object'}","{'user': 'Human', 'text': 'Great job, now we can go to the kitchen!', 'intent': 'Inform_next_step'}"
1,watch_tv_0,"{'user': 'Human', 'text': 'How do you like my apartment?', 'intent': 'Casual_question'}","{'user': 'Alien', 'text': 'I understand, thank you', 'intent': 'Inform_understanding'}"
1,bedroom_cabinet_0,"{'user': 'Alien', 'text': ""What's this here?"", 'intent': 'Ask_about_object'}","{'user': 'Alien', 'text': 'Alright!', 'intent': 'Inform_understanding'}"
1,bedroom_cabinet_0,"{'user': 'Alien', 'text': ""Where's the cupboard?"", 'intent': 'Ask_about_location'}","{'user': 'Human', 'text': ""It's a toy we're going to move from the bookshelf to the cupboard."", 'intent': 'Inform_action'}"
1,bedroom_cabinet_0,"{'user': 'Human', 'text': 'Go ahead and open it up.', 'intent': 'Inform_next_step'}","{'user': 'Human', 'text': ""It's over here, I'll show you."", 'intent': 'Inform_location'}"
1,bedroom_cabinet_0,"{'user': 'Alien', 'text': ""I'm putting the toy away."", 'intent': 'Inform_get_started'}","{'user': 'Alien', 'text': 'Alright!', 'intent': 'Inform_understanding'}"
1,bedroom_cabinet_0,"{'user': 'Alien', 'text': 'You mean this one over here?', 'intent': 'Ask_about_object'}","{'user': 'Human', 'text': ""Nice, there's still one more. Let's go get it."", 'intent': 'Inform_next_step'}"
1,bedroom_cabinet_0,"{'user': 'Alien', 'text': 'Alright, grabbing it now.', 'intent': 'Inform_get_started'}","{'user': 'Human', 'text': ""Yup, that's it. Go ahead and grab it."", 'intent': 'Inform_next_step'}"
1,bedroom_cabinet_0,"{'user': 'Alien', 'text': ""Okay, let's go!"", 'intent': 'Inform_get_started'}","{'user': 'Human', 'text': 'Nice, now we just need to take it to the cabinet like the last one.', 'intent': 'Inform_next_step'}"
1,bedroom_cabinet_0,"{'user': 'Human', 'text': 'Good job, now we just need to close it.', 'intent': 'Inform_next_step'}","{'user': 'Human', 'text': 'Go ahead and set it down next to that previous one.', 'intent': 'Inform_next_step'}"
1,bedroom_cabinet_0,"{'user': 'Human', 'text': ""Alright nice! Let me see if there's anywhere else around here I could show you..."", 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'Sounds good!', 'intent': 'Inform_understanding'}"
1,using_microwave_3,"{'user': 'Alien', 'text': 'How do I microwave the salmon?', 'intent': 'Ask_about_action'}","{'user': 'Human', 'text': ""Yeah, that's it"", 'intent': 'Yes-no_positive'}"
1,using_microwave_3,"{'user': 'Alien', 'text': 'What do I do now?', 'intent': 'Ask_next_step'}","{'user': 'Alien', 'text': 'Alright!', 'intent': 'Inform_understanding'}"
1,using_microwave_3,"{'user': 'Alien', 'text': 'And in you go!', 'intent': 'Inform_get_started'}","{'user': 'Human', 'text': 'Open up the microwave and place the salmon inside.', 'intent': 'Inform_next_step'}"
1,using_microwave_3,"{'user': 'Alien', 'text': ""Alright, I'm closing it. What do I do now?"", 'intent': 'Ask_next_step'}","{'user': 'Human', 'text': 'Great, now you just need to close it.', 'intent': 'Inform_next_step'}"
1,using_microwave_3,"{'user': 'Alien', 'text': 'Alright, done!', 'intent': 'Inform_get_started'}","{'user': 'Alien', 'text': 'Alright!', 'intent': 'Inform_understanding'}"
1,using_microwave_3,"{'user': 'Human', 'text': 'Oh wait, you need to hit start first.', 'intent': 'Inform_next_step'}","{'user': 'Human', 'text': 'Great! Now we wait.', 'intent': 'Inform_next_step'}"
1,using_microwave_3,"{'user': 'Human', 'text': 'Okay, it should be done now. Go ahead and take it out.', 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'Oh, I see. Doing that now.', 'intent': 'Inform_understanding'}"
1,using_microwave_3,"{'user': 'Alien', 'text': 'Where should I put it?', 'intent': 'Ask_next_step'}","{'user': 'Alien', 'text': 'Got it!', 'intent': 'Inform_understanding'}"
1,using_microwave_3,"{'user': 'Human', 'text': 'Oh, wait, before you do that, make sure to close the microwave.', 'intent': 'Inform_next_step'}","{'user': 'Human', 'text': ""You can set it down at the dining table, where we'll eat."", 'intent': 'Inform_next_step'}"
1,using_microwave_3,"{'user': 'Human', 'text': ""Where are you going? That's the kitchen counter."", 'intent': 'Ask_sure_about_location'}","{'user': 'Alien', 'text': 'Oh, sorry!', 'intent': 'Inform_understanding'}"
1,using_microwave_3,"{'user': 'Alien', 'text': 'You mean over here?', 'intent': 'Ask_about_location'}","{'user': 'Human', 'text': 'Yeah, the dining table is over this way.', 'intent': 'Inform_location'}"
1,using_microwave_3,"{'user': 'Alien', 'text': ""Okay, I'll set down the salmon here."", 'intent': 'Inform_get_started'}","{'user': 'Human', 'text': ""Yup, that's it."", 'intent': 'Yes-no_positive'}"
1,using_microwave_3,"{'user': 'Alien', 'text': 'So, what do we do next?', 'intent': 'Ask_next_step'}","{'user': 'Human', 'text': 'Sure, that works. Good job!', 'intent': 'Inform_action'}"
1,using_computer_2,"{'user': 'Human', 'text': ""Alright, here's my computer. It's like a TV but you can interact with it."", 'intent': 'Inform_object'}","{'user': 'Alien', 'text': 'Oh, okay.', 'intent': 'Inform_understanding'}"
1,using_computer_2,"{'user': 'Human', 'text': 'Well, first you need to turn it on.', 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'I see, nice! How do you use it?', 'intent': 'Ask_about_object'}"
1,using_computer_2,"{'user': 'Human', 'text': 'Next, you can take a seat in my desk chair.', 'intent': 'Inform_next_step'}","{'user': 'Human', 'text': 'Yup, good job.', 'intent': 'Yes-no_positive'}"
1,using_computer_2,"{'user': 'Alien', 'text': 'Now what do I do?', 'intent': 'Ask_next_step'}","{'user': 'Alien', 'text': 'Oh, I see! Thanks.', 'intent': 'Inform_understanding'}"
1,using_computer_2,"{'user': 'Human', 'text': 'Wait, what? What are you grabbing that cupcake for?', 'intent': 'Ask_know_next_step'}","{'user': 'Human', 'text': 'Go ahead and grab the mouse, then you can interact with the stuff onscreen by clicking them.', 'intent': 'Inform_next_step'}"
1,using_computer_2,"{'user': 'Alien', 'text': 'Do you mean this?', 'intent': 'Ask_about_object'}","{'user': 'Human', 'text': 'No, the mouse is that black thing to your right.', 'intent': 'Inform_object'}"
1,using_computer_2,"{'user': 'Alien', 'text': 'This one?', 'intent': 'Ask_about_object'}","{'user': 'Alien', 'text': 'I see...', 'intent': 'Inform_understanding'}"
1,using_computer_2,"{'user': 'Human', 'text': ""Alright, well I'm glad you having fun, but we should probably pack it up soon."", 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'Wow, this is fun!', 'intent': 'Inform_observation'}"
1,using_computer_2,"{'user': 'Human', 'text': 'Correct. Make sure to put the mouse back first.', 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'Oh, okay. So next I need to turn it back off?', 'intent': 'Ask_next_step'}"
1,using_computer_2,"{'user': 'Alien', 'text': 'Alright. So this is the power button, right?', 'intent': 'Ask_about_action'}","{'user': 'Human', 'text': ""That's not exactly the spot I had in mind, but it works I guess."", 'intent': 'Inform_location'}"
1,using_computer_2,"{'user': 'Alien', 'text': 'And off it goes!', 'intent': 'Inform_get_started'}","{'user': 'Human', 'text': 'Correct.', 'intent': 'Yes-no_positive'}"
1,wash_glass_0,"{'user': 'Alien', 'text': ""Alright, I'll go grab the glass first!"", 'intent': 'Inform_get_started'}","{'user': 'Alien', 'text': 'Oh, alright.', 'intent': 'Inform_understanding'}"
1,wash_glass_0,"{'user': 'Human', 'text': 'Jeez, are you alright? Try not to jerk your back so violently like that.', 'intent': 'Ask_okay'}","{'user': 'Human', 'text': 'Sounds good. Then just bring it back here and you can rinse it at the sink.', 'intent': 'Inform_next_step'}"
1,wash_glass_0,"{'user': 'Alien', 'text': 'Alright, what next?', 'intent': 'Ask_next_step'}","{'user': 'Human', 'text': 'Oh, okay. Well just bring the glass back here so we can wash it.', 'intent': 'Inform_next_step'}"
1,wash_glass_0,"{'user': 'Alien', 'text': 'Alright, here we go!', 'intent': 'Inform_get_started'}","{'user': 'Human', 'text': 'Just place it in the sink and turn it on.', 'intent': 'Inform_next_step'}"
1,wash_glass_0,"{'user': 'Alien', 'text': 'Like this?', 'intent': 'Ask_about_action'}","{'user': 'Human', 'text': 'I have no idea how you just phased it through the sink like that, but great work! Now just twist the knob to turn on the sink.', 'intent': 'Inform_next_step'}"
1,wash_glass_0,"{'user': 'Alien', 'text': 'It looks pretty rinsed. Do I turn it off now?', 'intent': 'Ask_next_step'}","{'user': 'Human', 'text': 'Yup, great job!', 'intent': 'Yes-no_positive'}"
1,wash_glass_0,"{'user': 'Human', 'text': 'Great! Now just put it back on the dining table like the plate.', 'intent': 'Inform_next_step'}","{'user': 'Human', 'text': 'Sure, go ahead.', 'intent': 'Yes-no_positive'}"
1,wash_glass_0,"{'user': 'Alien', 'text': 'Is this a good place to put it?', 'intent': 'Ask_about_location'}","{'user': 'Alien', 'text': 'Okay!', 'intent': 'Inform_understanding'}"
1,wash_glass_0,"{'user': 'Human', 'text': ""Try and put it down a little gently. It's glass after all."", 'intent': 'Inform_action'}","{'user': 'Human', 'text': 'Sure, that works.', 'intent': 'Yes-no_positive'}"
1,wash_glass_0,"{'user': 'Alien', 'text': 'What next?', 'intent': 'Ask_next_step'}","{'user': 'Human', 'text': ""...Sure. It doesn't seem like it cracked."", 'intent': 'Yes-no_positive'}"
1,watch_tv_0,"{'user': 'Human', 'text': 'I see, do you know how to turn the T.V. on?', 'intent': 'Ask_know_action'}","{'user': 'Human', 'text': 'We can go to the living room, my T.V. is there', 'intent': 'Inform_other'}"
1,watch_tv_0,"{'user': 'Human', 'text': 'Do you know where the location of the button is?', 'intent': 'Ask_know_location'}","{'user': 'Human', 'text': 'Yes', 'intent': 'Inform_next_step'}"
1,watch_tv_0,"{'user': 'Human', 'text': 'If you want to watch T.V., you should try watching it from back there on my couch', 'intent': 'Inform_next_step'}","{'user': 'Human', 'text': ""Yep, that's the one"", 'intent': 'Inform_other'}"
1,watch_tv_0,"{'user': 'Alien', 'text': 'You are right, the couch is so comfortable', 'intent': 'Casual_observation'}","{'user': 'Human', 'text': 'You can take a seat, make yourself comfortable while watching', 'intent': 'Inform_next_step'}"
1,watch_tv_0,"{'user': 'Alien', 'text': 'How many inches is your tv?', 'intent': 'Casual_question'}","{'user': 'Human', 'text': ""I'm glad you like it"", 'intent': 'Casual_response'}"
1,watch_tv_0,"{'user': 'Alien', 'text': 'What should I do?', 'intent': 'Ask_next_step'}","{'user': 'Human', 'text': ""It's 65 Inches. I got it on a good deal from Costco"", 'intent': 'Casual_response'}"
1,watch_tv_0,"{'user': 'Human', 'text': 'Do you know how to turn the T.V. off?', 'intent': 'Ask_know_action'}","{'user': 'Alien', 'text': 'Okay!', 'intent': 'Inform_understanding'}"
1,watch_tv_0,"{'user': 'Alien', 'text': 'What should we do now that we are finish with waching tv?', 'intent': 'Ask_next_step'}","{'user': 'Human', 'text': 'Yep!', 'intent': 'Inform_other'}"
1,watch_tv_0,"{'user': 'Alien', 'text': 'Watching tv was so fun!', 'intent': 'Casual_observation'}","{'user': 'Human', 'text': 'We can go eat something in the kitchen', 'intent': 'Inform_next_step'}"
1,bedroom_cabinet_1,"{'user': 'Human', 'text': 'Zara, you would want to grab that toy over there', 'intent': 'Inform_action'}","{'user': 'Human', 'text': ""Yes! Let's do it"", 'intent': 'Inform_get_started'}"
1,bedroom_cabinet_1,"{'user': 'Human', 'text': 'Do you know what you want to do with that toy?', 'intent': 'Ask_know_action'}","{'user': 'Human', 'text': 'Yep, that one that looks like an airplane', 'intent': 'Inform_other'}"
1,bedroom_cabinet_1,"{'user': 'Human', 'text': 'Do you know what to do next?', 'intent': 'Ask_know_next_step'}","{'user': 'Human', 'text': 'Yes, it is in the living room', 'intent': 'Inform_location'}"
1,bedroom_cabinet_1,"{'user': 'Alien', 'text': 'And here we go.', 'intent': 'Casual_observation'}","{'user': 'Alien', 'text': 'Thank you!', 'intent': 'Casual_response'}"
1,bedroom_cabinet_1,"{'user': 'Human', 'text': ""Let's go back to the bedroom and grab the other toy"", 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': ""Let's grab the other toy and put it here"", 'intent': 'Yes-no_positive'}"
1,bedroom_cabinet_1,"{'user': 'Human', 'text': ""Now that we're here, you know what you want to do. Do you need any help?"", 'intent': 'Ask_want_help'}","{'user': 'Alien', 'text': 'Okay, lets get it', 'intent': 'Inform_understanding'}"
1,bedroom_cabinet_1,"{'user': 'Alien', 'text': 'Should we go back to the living room and put this one back too?', 'intent': 'Ask_next_step'}","{'user': 'Alien', 'text': 'No worries, I got this!', 'intent': 'Yes-no_positive'}"
1,bedroom_cabinet_1,"{'user': 'Human', 'text': 'Do you know where you want to put it in the cupboard?', 'intent': 'Ask_know_next_step'}","{'user': 'Human', 'text': ""Yes, let's go do that"", 'intent': 'Yes-no_positive'}"
1,bedroom_cabinet_1,"{'user': 'Alien', 'text': 'Now they are together', 'intent': 'Casual_observation'}","{'user': 'Alien', 'text': ""Anywhere works, I'll put it next to the other toy"", 'intent': 'Yes-no_positive'}"
1,bedroom_cabinet_1,"{'user': 'Alien', 'text': 'Okay, I will close the doors now', 'intent': 'Inform_condition'}","{'user': 'Alien', 'text': 'OH, it makes sense!', 'intent': 'Inform_understanding'}"
1,using_microwave_2,"{'user': 'Alien', 'text': 'Now I just need to put the salmon in', 'intent': 'Inform_observation'}","{'user': 'Alien', 'text': 'Yes', 'intent': 'Yes-no_positive'}"
1,using_microwave_2,"{'user': 'Alien', 'text': ""I'm leaving this bell of peppers on top of the microwave then"", 'intent': 'Casual_observation'}","{'user': 'Alien', 'text': 'I see!', 'intent': 'Inform_understanding'}"
1,using_microwave_2,"{'user': 'Alien', 'text': 'What now?', 'intent': 'Ask_next_step'}","{'user': 'Human', 'text': 'Yes, it is in fact the pink-ish thing right there', 'intent': 'Yes-no_positive'}"
1,using_microwave_2,"{'user': 'Human', 'text': 'Do you want some information on how to work the microwave?', 'intent': 'Ask_need_info'}","{'user': 'Alien', 'text': 'Sounds good', 'intent': 'Inform_understanding'}"
1,using_microwave_2,"{'user': 'Human', 'text': 'Now that you opened the door, do you know what to do next with the Salmon?', 'intent': 'Ask_know_next_step'}","{'user': 'Alien', 'text': 'Ok', 'intent': 'Inform_understanding'}"
1,using_microwave_2,"{'user': 'Alien', 'text': 'Now what?', 'intent': 'Ask_next_step'}","{'user': 'Human', 'text': ""Yep! That plate is where the microwave focuses it's heat to warm up food"", 'intent': 'Inform_other'}"
1,using_microwave_2,"{'user': 'Alien', 'text': 'Is it on? Or do I need to do something?', 'intent': 'Ask_guidence'}","{'user': 'Alien', 'text': 'Ok', 'intent': 'Inform_understanding'}"
1,using_microwave_2,"{'user': 'Alien', 'text': 'Is it on now?', 'intent': 'Ask_about_action'}","{'user': 'Alien', 'text': 'Ok', 'intent': 'Inform_understanding'}"
1,using_microwave_2,"{'user': 'Alien', 'text': 'Is it finished?', 'intent': 'Inform_observation'}","{'user': 'Alien', 'text': 'Makes sense', 'intent': 'Inform_understanding'}"
1,using_microwave_2,"{'user': 'Human', 'text': ""Be careful Zara, the Salmon might be hot. Don't burn yourself"", 'intent': 'Casual_observation'}","{'user': 'Human', 'text': 'Yep! Go for it', 'intent': 'Yes-no_positive'}"
1,using_microwave_2,"{'user': 'Alien', 'text': ""I'm going to close the door now"", 'intent': 'Inform_condition'}","{'user': 'Alien', 'text': 'Okay', 'intent': 'Inform_understanding'}"
1,using_microwave_2,"{'user': 'Alien', 'text': 'Let me go and put it on the table', 'intent': 'Inform_condition'}","{'user': 'Alien', 'text': 'Ok', 'intent': 'Inform_understanding'}"
1,using_microwave_2,"{'user': 'Alien', 'text': 'Where should I put it?', 'intent': 'Ask_next_step'}","{'user': 'Human', 'text': 'Okay, sounds good', 'intent': 'Other'}"
1,using_microwave_2,"{'user': 'Human', 'text': 'Good work Zara! You learned how to properly use a microwave!', 'intent': 'Casual_observation'}","{'user': 'Alien', 'text': 'ok', 'intent': 'Inform_understanding'}"
1,using_stove_2,"{'user': 'Alien', 'text': 'Do you know what to do next?', 'intent': 'Ask_next_step'}","{'user': 'Alien', 'text': 'Of course!', 'intent': 'Ask_get_started'}"
1,using_stove_2,"{'user': 'Human', 'text': 'Zara you cannot grab the cookingpot from that side of the table, try moving here', 'intent': 'Inform_action'}","{'user': 'Alien', 'text': ""I'm going to get the cookingpot on top of the table"", 'intent': 'Inform_understanding'}"
1,using_stove_2,"{'user': 'Alien', 'text': ""I'm not sure"", 'intent': 'Inform_confused'}","{'user': 'Human', 'text': ""Zara are you sure you that's the cooking pot?"", 'intent': 'Ask_sure_about_object'}"
1,using_stove_2,"{'user': 'Human', 'text': ""So, what's your favorite type of pasta?"", 'intent': 'Casual_question'}","{'user': 'Human', 'text': ""That's a plate that you are holding, the cooking pot is the black recipient right there"", 'intent': 'Inform_action'}"
1,using_stove_2,"{'user': 'Human', 'text': 'Do you need my help?', 'intent': 'Ask_want_help'}","{'user': 'Alien', 'text': ""I'm going to grab the cooking pot, the black recipient right there!"", 'intent': 'Inform_understanding'}"
1,using_stove_2,"{'user': 'Alien', 'text': 'Where should I put the cooking pot?', 'intent': 'Ask_guidence'}","{'user': 'Alien', 'text': 'I know that the stove is right there, I just need to take the pot there.', 'intent': 'Inform_understanding'}"
1,using_stove_2,"{'user': 'Alien', 'text': 'How do I start it?', 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': 'On top of the stove, right on of these circles.', 'intent': 'Inform_action'}"
1,using_stove_2,"{'user': 'Human', 'text': 'Now you can turn it off, it is done.', 'intent': 'Inform_action'}","{'user': 'Human', 'text': 'You press that button right there', 'intent': 'Inform_action'}"
1,using_stove_2,"{'user': 'Human', 'text': 'Do you know what to do now?', 'intent': 'Ask_know_next_step'}","{'user': 'Human', 'text': 'Yes', 'intent': 'Yes-no_positive'}"
1,using_stove_2,"{'user': 'Human', 'text': 'Do you remember where the table is?', 'intent': 'Ask_know_action'}","{'user': 'Alien', 'text': ""I'm going to take the pot and then put it on the table"", 'intent': 'Inform_understanding'}"
1,using_stove_2,"{'user': 'Human', 'text': 'You can put it wherever you like on the table zara', 'intent': 'Inform_action'}","{'user': 'Alien', 'text': 'The table is where I got the cooking pot in the first place', 'intent': 'Inform_observation'}"
1,using_stove_2,"{'user': 'Human', 'text': 'And Zara by the way, where did you get that nice orange top?', 'intent': 'Casual_question'}","{'user': 'Alien', 'text': ""I'm doing great Michael, you are helping me so much and being very attentive towards my well being"", 'intent': 'Inform_condition'}"
