0,bathroom_cabinet_0,"{'user': 'Human', 'text': 'Hey Zara!', 'intent': 'Extend_greetings'}","{'user': 'Alien', 'text': 'Hi Michael!', 'intent': 'Extend_greetings'}"
0,bathroom_cabinet_0,"{'user': 'Human', 'text': 'How are you doing Zara?', 'intent': 'Ask_okay'}","{'user': 'Alien', 'text': 'Just fine Michael, thank you for asking', 'intent': 'Inform_condition'}"
1,bathroom_cabinet_0,"{'user': 'Alien', 'text': 'Just fine Michael, thank you for asking', 'intent': 'Inform_condition'}","{'user': 'Human', 'text': 'Take the lead zara you know what to do', 'intent': 'Ask_take_next_step'}"
0,bathroom_cabinet_0,"{'user': 'Human', 'text': 'Take the lead zara you know what to do', 'intent': 'Ask_take_next_step'}","{'user': 'Alien', 'text': ""I'm going to put on this middle cabinet"", 'intent': 'Inform_understanding'}"
1,bathroom_cabinet_0,"{'user': 'Alien', 'text': ""I'm going to put on this middle cabinet"", 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': ""Be careful with your head, don't hit the door of the cabinet"", 'intent': 'Casual_observation'}"
0,using_dishwasher_3,"{'user': 'Human', 'text': ""Hey, are you hungry? Let's make dinner."", 'intent': 'Casual_question'}","{'user': 'Alien', 'text': 'Yeah, sure.', 'intent': 'Yes-no_positive'}"
0,using_dishwasher_3,"{'user': 'Alien', 'text': 'Yeah, sure.', 'intent': 'Yes-no_positive'}","{'user': 'Human', 'text': 'We need to get a clean plate first.', 'intent': 'Inform_next_step'}"
0,using_dishwasher_3,"{'user': 'Human', 'text': 'We need to get a clean plate first.', 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'Gotcha.', 'intent': 'Inform_understanding'}"
1,using_dishwasher_3,"{'user': 'Alien', 'text': 'Gotcha.', 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': ""Let's get the plate we used for lunch and clean it."", 'intent': 'Inform_next_step'}"
0,using_dishwasher_3,"{'user': 'Human', 'text': ""Let's get the plate we used for lunch and clean it."", 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': ""I don't know where that is."", 'intent': 'Inform_confused'}"
0,using_dishwasher_3,"{'user': 'Alien', 'text': ""I don't know where that is."", 'intent': 'Inform_confused'}","{'user': 'Human', 'text': 'Follow me, we left it by the computer.', 'intent': 'Inform_action'}"
0,using_dishwasher_3,"{'user': 'Human', 'text': 'Follow me, we left it by the computer.', 'intent': 'Inform_action'}","{'user': 'Alien', 'text': 'Is this the plate?', 'intent': 'Ask_about_object'}"
0,using_dishwasher_3,"{'user': 'Alien', 'text': 'Is this the plate?', 'intent': 'Ask_about_object'}","{'user': 'Human', 'text': 'Yep!', 'intent': 'Yes-no_positive'}"
1,using_dishwasher_3,"{'user': 'Human', 'text': 'Yep!', 'intent': 'Yes-no_positive'}","{'user': 'Alien', 'text': 'Got the plate!', 'intent': 'Inform_condition'}"
0,using_dishwasher_3,"{'user': 'Alien', 'text': 'Got the plate!', 'intent': 'Inform_condition'}","{'user': 'Human', 'text': ""Ok, let's wash it in the sink."", 'intent': 'Inform_next_step'}"
1,using_dishwasher_3,"{'user': 'Human', 'text': ""Ok, let's wash it in the sink."", 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': ""This doesn't look like somewhere I can wash things."", 'intent': 'Inform_confused'}"
0,using_dishwasher_3,"{'user': 'Alien', 'text': ""This doesn't look like somewhere I can wash things."", 'intent': 'Inform_confused'}","{'user': 'Human', 'text': ""That's the stove where we cook, don't you remember?"", 'intent': 'Inform_location'}"
0,using_dishwasher_3,"{'user': 'Human', 'text': ""That's the stove where we cook, don't you remember?"", 'intent': 'Inform_location'}","{'user': 'Human', 'text': 'The dishwasher is right over here.', 'intent': 'Inform_location'}"
0,using_dishwasher_3,"{'user': 'Human', 'text': 'The dishwasher is right over here.', 'intent': 'Inform_location'}","{'user': 'Alien', 'text': 'oh, of course! ', 'intent': 'Inform_understanding'}"
1,using_dishwasher_3,"{'user': 'Alien', 'text': 'oh, of course! ', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': 'How do I open this?', 'intent': 'Ask_about_action'}"
